case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-09035: Euphemistic bribery,The beat constable said to just pay the 'processing charge' of Rs 15000 in cash and the file will clear same day.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-09036: Coordinated near-identical complaints,"90 near-identical complaints about a new bus route were filed within 90 minutes using near-identical phrasing, right before a transport policy hearing.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-09037: Stray Dogs complaint (rephrased),"Residents of Bharathi Nagar are increasingly worried about an aggressive stray dog pack near the local park, request sterilization drive.",Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-09038: Suspected outbreak / contamination cluster (case 3 of 3),"Neighbor on Main Bazaar Road also reports sudden breathing difficulty, suspects the water supply after the recent repair work.",Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-027
CASE-09039: Suspected outbreak / contamination cluster (case 2 of 3),Family on Hospital Road experienced food poisoning symptoms within hours of drinking tap water yesterday.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-029
CASE-09040: Stray Dogs complaint (rephrased),"Residents of Perambur are increasingly worried about an aggressive stray dog pack near the local park, request sterilization drive.",Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-09041: Garbage complaint (rephrased),"Waste not collected in Main Bazaar Road — this is the 2th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09042: Bundled multi-issue complaint,"Water hasn't come in 4 days in Guindy, also the road outside is broken, also my neighbor built an illegal extension, also my pension is still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-09043: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Guindy in 13 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09044: Bus Delay complaint,Bus route serving Sector 12 is consistently 5 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-09045: Suspected outbreak / contamination cluster (case 3 of 3),"Similar severe nausea reported after buying fruit from a different vendor near the corporation school in Porur, same neighborhood.",Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-089
CASE-09046: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Rajiv Nagar, non-functional for approximately 24 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-09047: Garbage complaint,Garbage truck has skipped Ward 27 for 2 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09048: Ambiguous jurisdiction - garbage vs drainage,"Garbage dumped into the drain near Ward 33 is blocking water flow, unclear if this is a sanitation issue or a drainage issue.",Municipal Corporation - Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-09049: Power Cut complaint,"Frequent unscheduled power cuts in Municipal Colony, sometimes 6 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-09050: Streetlight complaint,"Streetlight near Porur has been off for 21 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-09051: Suspicious identical wording,"Multiple complaints about a shopkeeper in Hillside Colony use the exact same three sentences, filed from different accounts on the same day.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-09052: Excessive repeat filing,Same resident has re-filed a streetlight complaint in Gokulam Colony 27 times in two weeks despite acknowledgment each time.,Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-09053: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Riverside Layout in 3 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09054: Water Tanker complaint,"Scheduled water tanker did not come to Shastri Nagar on the assigned day, 7 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09055: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ward 41, non-functional for approximately 16 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-09056: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Station Road, non-functional for approximately 16 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-09057: Garbage complaint,Garbage truck has skipped Ward 12 for 2 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09058: Park complaint (rephrased),"The community park in Guindy has been left unmaintained — broken play equipment, tall grass, not cleaned in 12 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09059: Pothole complaint (rephrased),"The stretch of road near Thiruvanmiyur has multiple deep potholes; two-wheeler riders have nearly fallen, needs urgent resurfacing.",Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-09060: Suspected outbreak / contamination cluster (case 1 of 3),Two families near Cross Cut Road report food poisoning symptoms after eating from a roadside fruit stand.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-055
CASE-09061: Pothole complaint,Potholes on the main road near Mylapore bus stop have worsened after recent rain.,Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-09062: Euphemistic bribery,The sub-inspector said to just pay the 'processing charge' of Rs 5000 in cash and the file will clear same day.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-09063: Water Tanker complaint,"Scheduled water tanker did not come to Sector 4 on the assigned day, 9 days without supply now.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09064: Distress signal buried in elderly isolation/land dispute (rephrased),"Handling this Block A colony land dispute alone for 8 months at my age, with no one nearby to help, has become genuinely too much some days.",Revenue Department / Land Records,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-09065: EPF withdrawal stuck,"EPF withdrawal request submitted 26 days back, no response despite follow-ups.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09066: Pothole complaint,Potholes on the main road near Sector 4 bus stop have worsened after recent rain.,Roads & PWD + Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09067: Parking complaint (rephrased),"Footpaths near Royapettah market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-09068: Suspected outbreak / contamination cluster (case 1 of 3),My son ate an orange from a catering stall near the corporation school in Indira Nagar and has been experiencing severe nausea since last night.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-078
CASE-09069: Bribe for approval (rephrased),An unofficial payment of roughly Rs 4000 was suggested by the verification officer to push my Hillside Colony application through.,Public Distribution System (Ration) + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-09070: Pothole complaint,Potholes on the main road near Nungambakkam bus stop have worsened after recent rain.,Roads & PWD + Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09071: Power Cut complaint,"Frequent unscheduled power cuts in Canal Bank Road, sometimes 5 times a day.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-09072: Threat against inspecting engineer (rephrased),The engineer inspecting the Temple Street construction site was warned to 'watch himself' unless the case is closed.,Housing & Urban Development + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-09073: Streetlight complaint,"Streetlight near Riverside Layout has been off for 20 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
